Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 237,Winter Camp 2022,Taiwan,St marys icse,Male,10,Hybrid,24,Music,Intermediate,3D Designing,3
student 238,VEX IQ Competition (VIQC - 2022 / 23),UAE,Father Agnel School,Male,10,In-person,24,Art,Intermediate,Graphics Designing,5
student 239,Winter Camp 2022,India,KES,Male,10,In-person,48,Technology,Intermediate,Python,4
student 240,Graphic Designing & Animation,Turkey,Father Agnel School,Male,10,Hybrid,24,Art,Proficiency,3D Designing,5
student 241,Winter Camp 2022,Uruguay,GEMS New Millennium School L.L.C,Female,10,In-person,48,Sports,Proficiency,Robotics Innovative Learning,3
student 242,Winter Camp 2022,India,MIS,Female,10,Hybrid,24,Science,Intermediate,Technology Innovative Learning,3
student 243,Winter Camp 2022,UK,"Amity School, Sharjah",Female,10,In-person,48,Sports,Beginner,AI,3
student 244,Winter Camp 2022,Iraq,IISD,Male,10,In-person,48,Science,Applied Tech,Robotics Innovative Learning,1
student 245,Graphic Designing & Animation,Switzerland,Amity International School,Male,10,In-person,24,Music,Proficiency,AI,5
student 246,Graphic Designing & Animation,Iran (Islamic Republic of),Primus Private School LLC,Male,10,In-person,96,Sports,Proficiency,Robotics Innovative Learning,5
student 247,Spring Camps,Venezuela,D.t.e.a,Male,10,In-person,96,Music,Intermediate,Graphics Designing,1
student 248,Winter Camp 2022,Jordan,Regent International Private School,Female,10,Online,48,Science,Proficiency,Graphics Designing,4
student 249,Graphic Designing & Animation,India,Head Start Educational Academy,Female,10,Online,24,Art,Applied Tech,AI,4
student 250,Winter Camp 2022,Jordan,Gems FirstPoint School,Female,10,Hybrid,96,Science,Applied Tech,App Development,5
student 251,Graphic Designing & Animation,Switzerland,St. Mary Catholic High School-Dubai,Female,10,In-person,48,Sports,Applied Tech,Coding for kids,1
student 252,Graphic Designing & Animation,UK,Al Adab Iranian Private School for Girls,Male,10,Online,24,Music,Proficiency,App Development,4
student 253,Graphic Designing & Animation,Uruguay,The Indian International School (DSO Branch),Female,10,Hybrid,96,Art,Intermediate,Technology Innovative Learning,4
student 254,Winter Camp 2022,Nigeria,The School of the Good Shepherd,Female,10,Hybrid,24,Sports,Intermediate,Technology Innovative Learning,3
student 255,Winter Camp 2022,Russia,NIMS,Male,10,Hybrid,48,Music,Beginner,Technology Innovative Learning,4
student 256,Winter Camp 2022,Uruguay,Sunmarke School,Female,10,Online,24,Mathematics,Applied Tech,App Development,5
student 257,Graphic Designing & Animation,KSA,Repton Dubai,Female,10,In-person,24,Technology,Intermediate,Technology Innovative Learning,3
student 258,Winter Camp 2022,Switzerland,Belvedere British School,Male,10,Online,8,Science,Applied Tech,Coding for kids,1
student 259,Graphic Designing & Animation,New Zealand,Holi child auxilliam,Male,10,Online,8,Sports,Beginner,Coding for kids,1
student 260,Winter Camp 2022,Syria,Lycee Theodore Monot,Male,10,Online,96,Sports,Intermediate,App Development,4
student 261,Technology Innovative Learning,Srilanka,GEMS Modern Academy,Male,11,In-person,48,Music,Intermediate,Graphics Designing,5
student 262,Graphic Designing & Animation,Afghanistan,Belvedere British School,Male,10,In-person,24,Science,Intermediate,App Development,4
student 263,Graphic Designing & Animation,Canada,"DPS, Jeslselulic",Female,10,Online,8,Art,Applied Tech,Python,3
student 264,Summer Camp 2022,Switzerland,Horizon International School - LLC,Female,9-May,Online,48,Music,Proficiency,Python,1
student 265,Graphic Designing & Animation,Pakistan,Inb Al Haitham government school,Male,10,Online,24,Mathematics,Proficiency,Robotics Innovative Learning,3
student 266,Graphic Designing & Animation,United States,Regent International Private School,Male,10,Online,24,Sports,Beginner,Coding for kids,4
student 267,Winter Camp 2022,Poland,Mercer County Technical Schools,Male,10,Hybrid,96,Sports,Proficiency,Game Development,1
student 268,Graphic Designing & Animation,Bosnia and Herzegovina,IHS,Female,10,In-person,24,Technology,Proficiency,App Development,5
student 269,Winter Camp 2022,Egypt,Al Naseem International School,Male,10,Online,24,Technology,Proficiency,App Development,3
student 270,Winter Camp 2022,Korea,The Indian High School,Male,10,In-person,24,Music,Applied Tech,Python,5
student 271,Graphic Designing & Animation,Canada,Primus Private School LLC,Male,10,Hybrid,24,Science,Proficiency,App Development,4
student 272,Graphic Designing & Animation,Turkey,ST laurence school Sallins,Male,10,Online,96,Music,Intermediate,Game Development,1
student 273,Graphic Designing & Animation,China,"Amity School, Sharjah",Female,10,Online,24,Science,Beginner,Graphics Designing,4
student 274,Winter Camp 2022,India,"GD Goenka Public School, Agra, India",Female,10,Online,48,Music,Intermediate,AI,5
student 275,Winter Camp 2022,Venezuela,GEMS Millenium School,Female,10,In-person,24,Technology,Beginner,Coding for kids,1
student 276,Winter Camp 2022,Palestine,Sheffield Private School,Male,10,Online,48,Art,Beginner,Coding for kids,3
student 277,Graphic Designing & Animation,Venezuela,Al Manar International school,Female,10,In-person,48,Technology,Intermediate,Robotics Innovative Learning,4
student 278,Winter Camp 2022,Canada,direct call,Female,10,Hybrid,48,Art,Intermediate,Coding for kids,4
student 279,Winter Camp 2022,Egypt,MIS,Female,10,Hybrid,24,Sports,Beginner,App Development,1
student 280,Graphic Designing & Animation,Cameroon,Dubai International Academy,Male,10,In-person,24,Science,Proficiency,AI,4
student 281,Graphic Designing & Animation,Cameroon,Habitat School,Male,10,Online,48,Science,Applied Tech,3D Designing,4
student 282,Tech Innovator,Oman,GEMS Our Own English High School,Female,10,Hybrid,24,Sports,Applied Tech,Game Development,1
student 283,Tech Innovator,Iraq,International school of Choueifat,Female,10,In-person,24,Sports,Applied Tech,AI,4
student 284,Winter Camp 2022,Pakistan,Sharjah Private International School,Female,10,Hybrid,24,Science,Proficiency,Game Development,3
student 285,Winter Camp 2022,New Zealand,New millennium school Bahrain,Female,10,Hybrid,24,Mathematics,Proficiency,Robotics Innovative Learning,5
student 286,Winter Camp 2022,Jordan,GIIS,Male,10,Online,96,Mathematics,Intermediate,Coding for kids,5
student 287,Robotics Innovative Learning,Switzerland,GEMS Wellington Academy- Al Khail,Female,10,In-person,96,Technology,Beginner,Coding for kids,1
student 288,FIRST LEGO LEAGUE (FLL - 2022/23),Cameroon,BISES,Female,10,Online,48,Sports,Proficiency,Python,5
student 289,Graphic Designing & Animation,Qatar,Grammar School,Male,10,In-person,48,Music,Beginner,Game Development,5
student 290,Graphic Designing & Animation,USA,Wesgreen International School,Female,10,Online,8,Mathematics,Applied Tech,Game Development,4
student 291,Graphic Designing & Animation,Russia,DPS dubai,Male,10,Online,48,Science,Applied Tech,AI,5
student 292,Graphic Designing & Animation,Turkey,IIS,Female,10,Hybrid,8,Technology,Proficiency,App Development,3
student 293,Winter Camp 2022,Iran (Islamic Republic of),Dubai International Academy,Female,10,Hybrid,48,Music,Intermediate,Game Development,5
student 294,Python Programming,Cameroon,Apple International School,Male,10,Online,24,Art,Beginner,Python,3
student 295,Graphic Designing & Animation,Qatar,IHS,Female,10,Hybrid,48,Mathematics,Beginner,Graphics Designing,5
student 296,Graphic Designing & Animation,KSA,Mercer County Technical Schools,Male,10,Online,24,Mathematics,Intermediate,Graphics Designing,3
student 297,Public Speaking & Entrepreneurship,Srilanka,online lead,Male,10,Online,24,Music,Beginner,Robotics Innovative Learning,4
student 298,3D Designing & Modelling,Cuba,Indian High School,Male,10,Online,24,Art,Applied Tech,3D Designing,1
student 299,Graphic Designing & Animation,Nigeria,Inb Al Haitham government school,Male,10,Online,48,Technology,Applied Tech,Technology Innovative Learning,3
student 300,Artificial Intelligence,Nigeria,"DPS, Doha",Male,10,Hybrid,96,Mathematics,Applied Tech,Coding for kids,1
student 301,3D Designing & Modelling,IndiaSpain,International school of Choueifat,Male,10,Online,48,Technology,Beginner,AI,4
student 302,3D Designing & Modelling,Saudi Arabia,Crescent English School,Male,10,Hybrid,24,Science,Applied Tech,Robotics Innovative Learning,5
student 303,Graphic Designing & Animation,Switzerland,Merryland International School,Male,10,In-person,48,Technology,Proficiency,AI,1
student 304,Robotics Innovative Learning,IndiaSpain,Jbcn,Female,10,In-person,48,Sports,Beginner,AI,3
student 305,Winter Camp 2022,Venezuela,Millennium School SHJ,Male,10,Online,8,Technology,Intermediate,AI,1
student 306,FIRST LEGO LEAGUE (FLL - 2022/23),UAE,AgaKhan,Male,10,In-person,24,Art,Beginner,Graphics Designing,4
student 307,FIRST LEGO LEAGUE (FLL - 2022/23),Turkey,The International School of Choueifat,Male,10,In-person,24,Mathematics,Applied Tech,AI,1
student 308,VEX IQ Competition (VIQC - 2022 / 23),China,Home,Male,10,In-person,24,Art,Proficiency,Python,5
student 309,World Robot Olympiad (WRO),Cook Islands,GEHS,Male,10,Hybrid,48,Science,Applied Tech,3D Designing,5
student 310,FIRST LEGO LEAGUE (FLL - 2022/23),Syria,Dammam  Middle School,Female,10,Hybrid,48,Technology,Intermediate,Python,4
student 311,Graphic Designing & Animation,Jordan,GEMS United School,Female,10,In-person,48,Music,Applied Tech,Game Development,5
student 312,Graphic Designing & Animation,Turkey,Al Basateen Private Nursery,Male,10,Hybrid,24,Mathematics,Applied Tech,3D Designing,1
student 313,Winter Camp 2022,Armenia,Repton Dubai,Female,10,Hybrid,48,Technology,Intermediate,App Development,1
student 314,Graphic Designing & Animation,Taiwan,Avah Unity,Female,10,In-person,24,Science,Applied Tech,Robotics Innovative Learning,4
student 315,Robotics Innovative Learning,Syria,Cambridge International School Private,Male,10,Online,48,Science,Beginner,Technology Innovative Learning,3
student 316,Robotics Innovative Learning,Malaysia,DPS,Female,10,Online,48,Science,Intermediate,App Development,3
student 317,Graphic Designing & Animation,Oman,Rajagiri Public School,Female,10,In-person,48,Sports,Beginner,AI,5
student 318,Graphic Designing & Animation,India,Home,Female,10,In-person,24,Mathematics,Beginner,Technology Innovative Learning,4
student 319,Winter Camp 2022,Cuba,GIIS,Male,10,Hybrid,8,Technology,Beginner,3D Designing,4
student 320,Graphic Designing & Animation,Egypt,"DPS, Sharjah",Female,10,Online,24,Music,Beginner,Technology Innovative Learning,4
student 321,VEX IQ Competition (VIQC - 2022 / 23),Jordan,SJCK Sin Ming,Male,10,In-person,48,Science,Beginner,AI,3
student 322,VEX IQ Competition (VIQC - 2022 / 23),Uganda,Holi child auxillianlm,Female,10,Online,96,Art,Beginner,Graphics Designing,5
student 323,LEGO Robotics,Uganda,Facebook,Male,10,Hybrid,24,Music,Intermediate,Coding for kids,5
student 324,LEGO Robotics,Switzerland,Suncity school,Female,10,In-person,8,Art,Applied Tech,AI,3
student 325,Robotics Innovative Learning,Venezuela,Apple International School,Female,10,Online,24,Mathematics,Beginner,Python,1
student 326,Virtual Robotics & Mechatronics,United States,Mercer County Technical Schools,Male,11,In-person,48,Sports,Beginner,AI,4
student 327,LEGO Robotics,United States,The winchester school jabal ali,Female,Working Professional,Online,24,Mathematics,Applied Tech,Game Development,4
student 328,Winter Camp 2022,Venezuela,Sharjah Private International School,Male,10,Online,24,Mathematics,Beginner,AI,1
student 329,Winter Camp 2022,Uruguay,Indian School Bahrain,Male,10,Online,96,Art,Proficiency,Coding for kids,4
student 330,Robotics Innovative Learning,Uganda,Colaiste Eoin,Male,10,Hybrid,24,Music,Intermediate,App Development,4
student 331,Public Speaking & Entrepreneurship,India,Learning Oasis International School,Male,10,In-person,48,Sports,Proficiency,AI,1
student 332,Winter Camp 2022,UAE,GEMS Founders School Mizhar,Male,10,Hybrid,8,Technology,Intermediate,App Development,1
student 333,Winter Camp 2022,Canada,Raha international school,Male,10,In-person,96,Art,Beginner,AI,4
student 334,Winter Camp 2022,Uganda,our own English high school,Female,10,In-person,24,Music,Beginner,Robotics Innovative Learning,4
student 335,Artificial Intelligence,Jordan,"Camp, Amity ( Al Nadha)",Female,10,Hybrid,24,Mathematics,Intermediate,App Development,1
student 336,Python Programming,India,"International Indian School, Jeddah",Female,10,In-person,48,Art,Applied Tech,App Development,1
student 337,Young Innovator,India,Apeejay school,Female,10,Online,96,Science,Intermediate,AI,3
student 338,Winter Camp 2022,India,Kings College Doha,Female,10,Hybrid,96,Technology,Applied Tech,Python,4
student 339,Artificial Intelligence,New Zealand,The Aquila School,Female,10,Online,8,Sports,Intermediate,Coding for kids,4
student 340,Winter Camp 2022,Korea,Apple International School,Female,10,Hybrid,96,Sports,Applied Tech,Graphics Designing,4
student 341,VEX IQ Competition (VIQC - 2022 / 23),India,AlRaja School,Female,10,Online,24,Science,Beginner,AI,1
student 342,3D Designing & Modelling,Iran (Islamic Republic of),"DPS, Doha",Female,10,Online,24,Music,Intermediate,3D Designing,4
student 343,Robotics Innovative Learning,United Kingdom,Pristine Private School,Male,10,In-person,96,Science,Intermediate,3D Designing,3
student 344,Python Programming,Cameroon,Al Watania,Male,10,Hybrid,24,Science,Proficiency,App Development,3
student 345,FIRST LEGO LEAGUE (FLL - 2022/23),Ukraine,GEMS Our Own English High School,Male,10,In-person,48,Science,Applied Tech,App Development,1
student 346,Public Speaking & Entrepreneurship,Oman,Scholars International Academy,Male,10,Hybrid,48,Science,Applied Tech,Graphics Designing,1
student 347,Winter Camp 2022,Bahrain,AL mawakeb school,Male,10,In-person,8,Sports,Proficiency,App Development,3
student 348,Graphic Designing & Animation,Iran (Islamic Republic of),AL mawakeb school,Female,10,Online,24,Technology,Proficiency,AI,4
student 349,Graphic Designing & Animation,Ukraine,Al Rowad international,Female,10,Online,48,Mathematics,Applied Tech,Technology Innovative Learning,4
student 350,VEX IQ Competition (VIQC - 2022 / 23),Saudi Arabia,Lodha World School,Female,10,Hybrid,96,Art,Proficiency,Technology Innovative Learning,3
student 351,Graphic Designing & Animation,United Kingdom,BISES,Female,10,Online,96,Sports,Applied Tech,Technology Innovative Learning,4
student 352,Graphic Designing & Animation,Syria,Heritage,Female,10,Online,24,Sports,Proficiency,AI,4
student 353,Artificial Intelligence Summer Program & Internship,Iran (Islamic Republic of),Ambassador International Academy,Male,10,In-person,24,Sports,Proficiency,Game Development,1
student 354,3D Designing & Modelling,Russia,Jumeirah English Speaking School,Female,10,Hybrid,96,Technology,Intermediate,3D Designing,1
student 355,Graphic Designing & Animation,Switzerland,other,Female,Working Professional,Hybrid,24,Science,Applied Tech,3D Designing,1
student 356,Artificial Intelligence,Afghanistan,The Philippine School,Male,10,Hybrid,48,Science,Beginner,AI,3
student 357,VEX IQ Competition (VIQC - 2022 / 23),Taiwan,Al majd international school,Male,10,Hybrid,8,Music,Proficiency,Python,4
student 358,VEX IQ Competition (VIQC - 2022 / 23),Bahrain,Merryland International School,Male,10,Online,48,Sports,Applied Tech,Python,4
student 359,Python Programming,Jordan,GEMS Our Own Indian School,Female,10,Hybrid,48,Science,Beginner,Technology Innovative Learning,4
student 360,Python Programming,Qatar,GEMS Wellington International School,Male,10,Online,24,Technology,Intermediate,App Development,1
